Sector_name,Country_here,d2014_2018,d2018_2022,d2022_2023,Grid,d2014_2019,d2019_2023,d2023_2024,d2018_2024,d2024_2025
"Road freight transport","CHL",0,-3.77359,0,"STRI2023",,,,,
"Rail freight transport","CHL",0,11.60221,0,"STRI2023",,,,,
"Courier services","CHL",0,2.222751,0,"STRI2023",,,,,
"Distribution services","CHL",-6.877274,17.09674,0,"STRI2023",,,,,
"Cargo-handling","CHL",-8.291874,10.84991,0,"STRI2023",,,,,
"Storage and warehouse","CHL",-12.96314,-6.166469,0,"STRI2023",,,,,
"Freight-forwarding","CHL",-13.41464,-2.112674,0,"STRI2023",,,,,
"Customs brokerage","CHL",-12.69686,-10.14656,0,"STRI2023",,,,,
"Market bridging and supporting services","CHL",,,,"STRI2023",,,,,
"Legal services","CHL",0,20.98881,0,"STRI2023",,,,,
"Accounting services","CHL",0,35.46512,0,"STRI2023",,,,,
"Commercial banking","CHL",-2.621719,10.38461,0,"STRI2023",,,,,
"Insurance","CHL",0,5.704648,0,"STRI2023",,,,,
"Physical infrastructure services","CHL",,,,"STRI2023",,,,,
"Construction","CHL",0,29.807,0,"STRI2023",,,,,
"Architecture services","CHL",0,20.45455,0,"STRI2023",,,,,
"Engineering services","CHL",0,28.73462,0,"STRI2023",,,,,
"Digital network","CHN",,,,"STRI2023",,,,,
"Computer services","CHN",14.03479,-6.155342,-16.93606,"STRI2023",,,,,
"Telecommunication","CHN",4.204949,-3.504504,-4.695371,"STRI2023",,,,,
"Broadcasting","CHN",7.524399,2.156103,-5.677613,"STRI2023",,,,,
"Motion pictures","CHN",10.12154,-1.086393,-7.949786,"STRI2023",,,,,
"Sound recording","CHN",6.645367,-4.673451,-6.871986,"STRI2023",,,,,
"Logistics and related services","CHN",,,,"STRI2023",,,,,
"Air transport","CHN",4.34068,-9.395409,-4.448587,"STRI2023",,,,,
"Maritime transport","CHN",-12.19511,-20.83333,-5.937922,"STRI2023",,,,,
"Road freight transport","CHN",16.43433,1.071205,-29.42643,"STRI2023",,,,,
"Rail freight transport","CHN",-13.58381,-7.134901,-7.202879,"STRI2023",,,,,
"Courier services","CHN",3.937565,-1.487544,-1.693946,"STRI2023",,,,,
"Distribution services","CHN",9.818488,-4.347176,-16.47614,"STRI2023",,,,,
"Cargo-handling","CHN",-8.505912,-22.31205,-10.40583,"STRI2023",,,,,
"Storage and warehouse","CHN",15.66028,-5.320712,-16.46795,"STRI2023",,,,,
"Freight-forwarding","CHN",18.91892,0,-20,"STRI2023",,,,,
"Customs brokerage","CHN",21.36125,-9.577214,-18.32061,"STRI2023",,,,,
"Market bridging and supporting services","CHN",,,,"STRI2023",,,,,
"Legal services","CHN",6.58159,-7.133073,-5.231169,"STRI2023",,,,,
"Accounting services","CHN",4.575156,4.202584,-5.377453,"STRI2023",,,,,
"Commercial banking","CHN",1.459856,-11.33093,-6.490873,"STRI2023",,,,,
"Insurance","CHN",-8.208115,-17.45053,-5.919351,"STRI2023",,,,,
"Physical infrastructure services","CHN",,,,"STRI2023",,,,,
"Construction","CHN",16.07676,-2.581629,-31.94384,"STRI2023",,,,,
"Architecture services","CHN",6.158672,13.56931,-38.09524,"STRI2023",,,,,
"Engineering services","CHN",0,4.613785,-27.75025,"STRI2023",,,,,
"Digital network","COL",,,,"STRI2023",,,,,
"Computer services","COL",-7.515627,24.10814,0,"STRI2023",,,,,
"Telecommunication","COL",-5.457967,9.080666,0,"STRI2023",,,,,
"Broadcasting","COL",-3.115683,2.58669,0,"STRI2023",,,,,
"Motion pictures","COL",-7.596622,10.96154,0,"STRI2023",,,,,
"Sound recording","COL",-4.703838,15.11274,0,"STRI2023",,,,,
"Logistics and related services","COL",,,,"STRI2023",,,,,
"Air transport","COL",-.2016335,5.306255,0,"STRI2023",,,,,
"Maritime transport","COL",4.131051,12.4487,0,"STRI2023",,,,,
"Road freight transport","COL",-5.030037,17.39131,0,"STRI2023",,,,,
"Rail freight transport","COL",-1.52284,9.793813,0,"STRI2023",,,,,
"Courier services","COL",9.972044,4.968432,0,"STRI2023",,,,,
"Distribution services","COL",-1.3652,9.355396,0,"STRI2023",,,,,
"Cargo-handling","COL",12.4138,9.202454,0,"STRI2023",,,,,
"Storage and warehouse","COL",17.05705,7.74568,0,"STRI2023",,,,,
"Freight-forwarding","COL",23.07693,10.41666,0,"STRI2023",,,,,
"Customs brokerage","COL",12.85232,3.596402,0,"STRI2023",,,,,
"Market bridging and supporting services","COL",,,,"STRI2023",,,,,
"Legal services","COL",-5.464929,19.06816,0,"STRI2023",,,,,
"Accounting services","COL",-5.637252,16.19048,0,"STRI2023",,,,,
"Commercial banking","COL",-1.871655,7.084455,0,"STRI2023",,,,,
"Insurance","COL",-3.939763,5.795077,0,"STRI2023",,,,,
"Physical infrastructure services","COL",,,,"STRI2023",,,,,
"Construction","COL",-8.884547,22.61589,0,"STRI2023",,,,,
"Architecture services","COL",-19.84898,24.49528,0,"STRI2023",,,,,
"Engineering services","COL",-10.61453,24.86112,0,"STRI2023",,,,,
"Digital network","CRI",,,,"STRI2023",,,,,
"Computer services","CRI",0,-6.620222,0,"STRI2023",,,,,
"Telecommunication","CRI",0,-3.229125,0,"STRI2023",,,,,
"Broadcasting","CRI",0,-2.290676,0,"STRI2023",,,,,
"Motion pictures","CRI",9.202455,-8.426967,0,"STRI2023",,,,,
"Sound recording","CRI",0,-10.87696,0,"STRI2023",,,,,
"Logistics and related services","CRI",,,,"STRI2023",,,,,
"Air transport","CRI",0,-2.133934,0,"STRI2023",,,,,
"Maritime transport","CRI",0,-3.47721,0,"STRI2023",,,,,
"Road freight transport","CRI",0,-3.307559,0,"STRI2023",,,,,
"Rail freight transport","CRI",0,-2.149323,0,"STRI2023",,,,,
"Courier services","CRI",0,4.079513,0,"STRI2023",,,,,
"Distribution services","CRI",-5.941059,-.8450543,-8.330867,"STRI2023",,,,,
"Cargo-handling","CRI",0,-6.504066,0,"STRI2023",,,,,
"Storage and warehouse","CRI",0,-7.050154,0,"STRI2023",,,,,
"Freight-forwarding","CRI",0,-12.87129,0,"STRI2023",,,,,
"Customs brokerage","CRI",0,-16.52807,0,"STRI2023",,,,,
"Market bridging and supporting services","CRI",,,,"STRI2023",,,,,
"Legal services","CRI",0,-6.410254,0,"STRI2023",,,,,
"Accounting services","CRI",-2.700305,-3.412193,0,"STRI2023",,,,,
"Commercial banking","CRI",-5.405414,-11.83673,0,"STRI2023",,,,,
"Insurance","CRI",0,-1.672973,0,"STRI2023",,,,,
"Physical infrastructure services","CRI",,,,"STRI2023",,,,,
"Construction","CRI",0,-5.183066,0,"STRI2023",,,,,
"Architecture services","CRI",0,-13.60799,0,"STRI2023",,,,,
"Engineering services","CRI",0,-9.34279,0,"STRI2023",,,,,
"Digital network","CZE",,,,"STRI2023",,,,,
"Computer services","CZE",17.09914,27.24722,0,"STRI2023",,,,,
"Telecommunication","CZE",-24.11661,8.147622,0,"STRI2023",,,,,
"Broadcasting","CZE",16.51179,13.49694,0,"STRI2023",,,,,
"Motion pictures","CZE",17.11712,17.30769,0,"STRI2023",,,,,
"Sound recording","CZE",11.29477,19.80198,0,"STRI2023",,,,,
"Logistics and related services","CZE",,,,"STRI2023",,,,,
"Air transport","CZE",1.229223,1.22787,0,"STRI2023",,,,,
"Road freight transport","CZE",14.73158,8.37867,0,"STRI2023",,,,,
"Rail freight transport","CZE",-6.320541,17.10844,0,"STRI2023",,,,,
"Courier services","CZE",5.989112,12.36682,0,"STRI2023",,,,,
"Distribution services","CZE",6.725337,4.896719,0,"STRI2023",,,,,
"Cargo-handling","CZE",7.911393,13.78299,0,"STRI2023",,,,,
"Storage and warehouse","CZE",41.66901,8.290368,0,"STRI2023",,,,,
"Freight-forwarding","CZE",18.33334,4.225357,0,"STRI2023",,,,,
"Customs brokerage","CZE",15.28663,9.116009,0,"STRI2023",,,,,
"Market bridging and supporting services","CZE",,,,"STRI2023",,,,,
"Legal services","CZE",5.461848,3.046468,0,"STRI2023",,,,,
"Accounting services","CZE",8.748313,9.282184,0,"STRI2023",,,,,
"Commercial banking","CZE",7.017545,5.737705,0,"STRI2023",,,,,
"Insurance","CZE",5.627464,3.063395,0,"STRI2023",,,,,
"Physical infrastructure services","CZE",,,,"STRI2023",,,,,
"Construction","CZE",12.74132,6.205479,0,"STRI2023",,,,,
"Architecture services","CZE",22.91667,10.33899,0,"STRI2023",,,,,
"Engineering services","CZE",12.13172,5.795982,0,"STRI2023",,,,,
"Digital network","DEU",,,,"STRI2023",,,,,
"Computer services","DEU",0,20.02346,0,"STRI2023",,,,,
"Telecommunication","DEU",0,18.76772,0,"STRI2023",,,,,
"Broadcasting","DEU",0,6.139885,0,"STRI2023",,,,,
"Motion pictures","DEU",0,21.74672,0,"STRI2023",,,,,
"Sound recording","DEU",0,27.88019,0,"STRI2023",,,,,
"Logistics and related services","DEU",,,,"STRI2023",,,,,
"Air transport","DEU",0,2.627936,0,"STRI2023",,,,,
"Maritime transport","DEU",0,8.752736,0,"STRI2023",,,,,
"Road freight transport","DEU",0,14.2232,0,"STRI2023",,,,,
"Rail freight transport","DEU",0,7.053928,0,"STRI2023",,,,,
"Courier services","DEU",0,17.84773,0,"STRI2023",,,,,
"Distribution services","DEU",0,5.484036,0,"STRI2023",,,,,
"Cargo-handling","DEU",0,16.55172,0,"STRI2023",,,,,
"Storage and warehouse","DEU",12.72699,14.88365,0,"STRI2023",,,,,
"Freight-forwarding","DEU",0,14.89362,0,"STRI2023",,,,,
"Customs brokerage","DEU",0,19.05881,0,"STRI2023",,,,,
"Market bridging and supporting services","DEU",,,,"STRI2023",,,,,
"Legal services","DEU",0,3.665456,0,"STRI2023",,,,,
"Accounting services","DEU",0,14.04213,0,"STRI2023",,,,,
"Commercial banking","DEU",0,7.978724,0,"STRI2023",,,,,
"Insurance","DEU",0,8.222395,0,"STRI2023",,,,,
"Physical infrastructure services","DEU",,,,"STRI2023",,,,,
"Construction","DEU",0,20.46438,0,"STRI2023",,,,,
"Architecture services","DEU",0,30.05273,0,"STRI2023",,,,,
"Engineering services","DEU",0,17.72464,0,"STRI2023",,,,,
"Digital network","DNK",,,,"STRI2023",,,,,
"Computer services","DNK",21.58718,7.51343,0,"STRI2023",,,,,
"Telecommunication","DNK",4.547749,29.5115,0,"STRI2023",,,,,
"Broadcasting","DNK",-5.585229,-11.31687,0,"STRI2023",,,,,
"Motion pictures","DNK",2.65568,-.624436,0,"STRI2023",,,,,
"Sound recording","DNK",8.116292,2.521012,0,"STRI2023",,,,,
"Logistics and related services","DNK",,,,"STRI2023",,,,,
"Air transport","DNK",-1.410332,1.294617,0,"STRI2023",,,,,
"Maritime transport","DNK",5.53691,4.610497,0,"STRI2023",,,,,
"Road freight transport","DNK",3.468634,5.492152,0,"STRI2023",,,,,
"Rail freight transport","DNK",2.386113,.847456,0,"STRI2023",,,,,
"Courier services","DNK",-3.112302,-6.071311,0,"STRI2023",,,,,
"Distribution services","DNK",4.325715,-4.926285,0,"STRI2023",,,,,
"Cargo-handling","DNK",10.25641,-8.765658,0,"STRI2023",,,,,
"Storage and warehouse","DNK",7.729715,-4.652246,0,"STRI2023",,,,,
"Freight-forwarding","DNK",18.94738,-7.964605,0,"STRI2023",,,,,
"Customs brokerage","DNK",-4.026844,-7.867124,0,"STRI2023",,,,,
"Market bridging and supporting services","DNK",,,,"STRI2023",,,,,
"Legal services","DNK",3.628122,0,0,"STRI2023",,,,,
"Accounting services","DNK",8.482141,.411525,0,"STRI2023",,,,,
"Commercial banking","DNK",2.100844,8.641971,0,"STRI2023",,,,,
"Insurance","DNK",-.683801,1.931153,0,"STRI2023",,,,,
"Physical infrastructure services","DNK",,,,"STRI2023",,,,,
"Construction","DNK",21.68587,-1.503848,0,"STRI2023",,,,,
"Architecture services","DNK",13.63636,3.047616,0,"STRI2023",,,,,
"Engineering services","DNK",23.76344,-2.693314,0,"STRI2023",,,,,
"Digital network","ESP",,,,"STRI2023",,,,,
"Computer services","ESP",0,15.29889,-25.13474,"STRI2023",,,,,
"Telecommunication","ESP",-12.07673,43.76574,-9.000819,"STRI2023",,,,,
"Broadcasting","ESP",0,14.02167,-3.912794,"STRI2023",,,,,
"Motion pictures","ESP",0,14.5046,-10.16949,"STRI2023",,,,,
"Sound recording","ESP",0,15.39491,-19.25754,"STRI2023",,,,,
"Logistics and related services","ESP",,,,"STRI2023",,,,,
"Air transport","ESP",0,0,-2.366865,"STRI2023",,,,,
"Maritime transport","ESP",0,10.6576,-16.39344,"STRI2023",,,,,
"Road freight transport","ESP",0,8.760318,-7.750752,"STRI2023",,,,,
"Rail freight transport","ESP",0,11.81818,-8.536588,"STRI2023",,,,,
"Courier services","ESP",0,17.78568,-7.625522,"STRI2023",,,,,
"Distribution services","ESP",0,9.639897,-8.417088,"STRI2023",,,,,
"Cargo-handling","ESP",-16.31702,19.49861,-20.97902,"STRI2023",,,,,
"Storage and warehouse","ESP",-11.50716,13.0035,-13.4718,"STRI2023",,,,,
"Freight-forwarding","ESP",-11.76471,13.33333,-19.60784,"STRI2023",,,,,
"Customs brokerage","ESP",-14.15608,16.49049,-6.533577,"STRI2023",,,,,
"Market bridging and supporting services","ESP",,,,"STRI2023",,,,,
"Legal services","ESP",0,6.370822,-6.195787,"STRI2023",,,,,
"Accounting services","ESP",0,4.420241,-7.484666,"STRI2023",,,,,
"Commercial banking","ESP",0,34.92064,-21.17646,"STRI2023",,,,,
"Insurance","ESP",0,6.807071,-3.767605,"STRI2023",,,,,
"Physical infrastructure services","ESP",,,,"STRI2023",,,,,
"Construction","ESP",0,9.602654,-20.99698,"STRI2023",,,,,
"Architecture services","ESP",0,6.598234,-9.903714,"STRI2023",,,,,
"Engineering services","ESP",0,8.760335,-16.56535,"STRI2023",,,,,
"Digital network","EST",,,,"STRI2023",,,,,
"Computer services","EST",-28.55884,-2.329292,10.80334,"STRI2023",,,,,
"Telecommunication","EST",-12.45639,-1.849877,15.46329,"STRI2023",,,,,
"Broadcasting","EST",.9850171,-11.78966,10.57693,"STRI2023",,,,,
"Motion pictures","EST",-3.475603,-8.970314,0,"STRI2023",,,,,
"Sound recording","EST",-5.958372,3.43512,0,"STRI2023",,,,,
"Logistics and related services","EST",,,,"STRI2023",,,,,
"Air transport","EST",-2.448819,1.262118,0,"STRI2023",,,,,
"Maritime transport","EST",-4.576654,-2.158273,5.759795,"STRI2023",,,,,
"Road freight transport","EST",-3.648073,5.716405,0,"STRI2023",,,,,
"Rail freight transport","EST",-3.250775,3.039994,8.074534,"STRI2023",,,,,
"Courier services","EST",-3.102917,-5.812726,0,"STRI2023",,,,,
"Distribution services","EST",4.983688,-4.71664,0,"STRI2023",,,,,
"Cargo-handling","EST",-9.385114,3.750006,0,"STRI2023",,,,,
"Storage and warehouse","EST",4.911168,5.755196,0,"STRI2023",,,,,
"Freight-forwarding","EST",-6.896554,-6.666661,0,"STRI2023",,,,,
"Customs brokerage","EST",-15.78948,6.445315,0,"STRI2023",,,,,
"Market bridging and supporting services","EST",,,,"STRI2023",,,,,
"Legal services","EST",-1.616031,-3.175647,0,"STRI2023",,,,,
"Accounting services","EST",-3.269018,.3324064,0,"STRI2023",,,,,
"Commercial banking","EST",-4.147462,3.36538,10.23256,"STRI2023",,,,,
"Insurance","EST",-3.507046,-20.68614,0,"STRI2023",,,,,
"Physical infrastructure services","EST",,,,"STRI2023",,,,,
"Construction","EST",-5.446704,-1.052637,0,"STRI2023",,,,,
"Architecture services","EST",0,1.236475,0,"STRI2023",,,,,
"Engineering services","EST",-7.38984,-2.269393,0,"STRI2023",,,,,
"Digital network","FIN",,,,"STRI2023",,,,,
"Computer services","FIN",-7.107952,14.37449,0,"STRI2023",,,,,
"Telecommunication","FIN",-2.910534,17.62672,0,"STRI2023",,,,,
"Broadcasting","FIN",3.169017,8.342815,0,"STRI2023",,,,,
"Motion pictures","FIN",15.46842,26.35219,0,"STRI2023",,,,,
"Sound recording","FIN",-5.593,27.83726,0,"STRI2023",,,,,
"Logistics and related services","FIN",,,,"STRI2023",,,,,
"Air transport","FIN",-1.002503,2.91772,0,"STRI2023",,,,,
"Maritime transport","FIN",-5.277045,10.58496,0,"STRI2023",,,,,
"Road freight transport","FIN",-2.894435,10.6955,0,"STRI2023",,,,,
"Rail freight transport","FIN",-2.904565,10.11396,0,"STRI2023",,,,,
"Courier services","FIN",-7.56579,16.88111,0,"STRI2023",,,,,
"Distribution services","FIN",-5.30196,8.637172,0,"STRI2023",,,,,
"Cargo-handling","FIN",-4.812838,13.14606,0,"STRI2023",,,,,
"Storage and warehouse","FIN",2.800898,9.920662,0,"STRI2023",,,,,
"Freight-forwarding","FIN",-6.535949,10.48951,0,"STRI2023",,,,,
"Customs brokerage","FIN",-2.472526,15.63379,0,"STRI2023",,,,,
"Market bridging and supporting services","FIN",,,,"STRI2023",,,,,
